Extraction Index	Sentence Index	DocId	Entity(NP)	Relation	Slotfill(tag)	Sentence
914	16037	NYT_ENG_20070514.0026.LDC2009T13	NULL			On the fly: Bird-watchers can set their sights here for a gallery, news, forums and hobby-related links.
915	13562	LTW_ENG_20070807.0103.LDC2009T13	NULL			'You''ll likely have to repeat the procedure a couple of times each spring and again during the summer.'
916	9280	APW_ENG_20080118.1269.LDC2009T13	NULL			'Through a translator, Perez'' brother, Anival Perez, called the Bedford officers'' taped conversations "unrespectful."'
917	21487	XIN_ENG_20080317.0049.LDC2009T13	NULL			2nd Ld, Writethru: Japanese government nominates Tanami as new BOJ chief
918	3684	AFP_ENG_20081118.0662.LDC2009T13	NULL			"We have been cheated.
919	13912	LTW_ENG_20071026.0132.LDC2009T13	NULL			"Kids with colds were getting these medicines that had never been shown to be either effective or safe."
920	9621	APW_ENG_20080302.0793.LDC2009T13	NULL			-- manages federal property.
921	2204	AFP_ENG_20080210.0023.LDC2009T13	NULL			He has been often the voice in the wilderness," he added.
922	915	AFP_ENG_20070503.0495.LDC2009T13	NULL			A Danish court convicted them of illegal entry the following month and fined them approximately 670 euros (910 dollars) each, a ruling confirmed on appeal.
924	3179	AFP_ENG_20080808.0619.LDC2009T13	NULL			"However, we are missing the point by having so much attention on the short-term exposure while the long-term exposure is really ignored -- that is where we have a problem," the Swede said.
926	19289	NYT_ENG_20080818.0153.LDC2009T13	NULL			All in all, U.S. officials say they believe, far more people were killed and wounded in the riot than in the bombing that touched it off.
927	2295	AFP_ENG_20080320.0377.LDC2009T13	NULL			More than 18,700 Chinese tourists visited the East African nation in 2007, up 27 percent from the number of arrivals recorded in 2006, she said at a press conference.
928	15320	NYT_ENG_20070208.0083.LDC2009T13	NULL			(Harrison, Atlanta Journal-Constitution)
929	14627	LTW_ENG_20080715.0045.LDC2009T13	NULL			Import.
930	10816	APW_ENG_20080706.0392.LDC2009T13	NULL			Eneko Llanos, Spain, 8:01:49.
931	1811	AFP_ENG_20071124.0020.LDC2009T13	NULL			"The feeling of scoring here at Camp Nou and then celebrating with my team-mates was incredible."
932	14136	LTW_ENG_20080123.0002.LDC2009T13	NULL			'The following editorial appeared in Tuesday''s Washington Post:'
933	20704	XIN_ENG_20070713.0196.LDC2009T13	NULL			Department stores saw sales fall by 1 percent.
934	20735	XIN_ENG_20070805.0258.LDC2009T13	NULL			JAKARTA, Aug. 6 (Xinhua)
935	21868	XIN_ENG_20080825.0251.LDC2009T13	NULL			It even surged 4.30 dollars Wednesday from 109.77 to 114.07 dollars and kept rising on Friday to 114.63 dollars.
936	19847	NYT_ENG_20081108.0055.LDC2009T13	NULL			"But we also believe in blunting a gay agenda that we see at work in other states with regard to marriage and adoption issues."
937	13941	LTW_ENG_20071026.0132.LDC2009T13	NULL			"Where do parents get a lot of their information?
938	4446	APW_ENG_20070130.1375.LDC2009T13	NULL			Associated Press Writers Jenny Barchfield in Paris, Seth Borenstien in Washington, and Tom Maliti in Nairoibi, Kenya, contributed to this report.
939	990	AFP_ENG_20070611.0321.LDC2009T13	NULL			US entertainment and media giant Walt Disney Co. is teaming up with Indian film studio Yash Raj Films to make Disney-branded animation films with the voices of Bollywood stars, the Wall Street Journal reported Monday.
940	18275	NYT_ENG_20080308.0082.LDC2009T13	NULL			Throughout the campaign, Rajoy has attacked Zapatero for negotiating with ETA.
941	9433	APW_ENG_20080226.0023.LDC2009T13	NULL			'"You''d be lying on the floor."'
942	13401	LTW_ENG_20070726.0001.LDC2009T13	NULL			I joined a hard-line Salafi group.
943	6035	APW_ENG_20070426.0423.LDC2009T13	NULL			The attack occurred at about 8 a.m. in Zumar, a town that is 70 kilometers (45 miles) west of Mosul, the capital of Ninevah province.
944	3475	AFP_ENG_20081015.0264.LDC2009T13	NULL			Bernanke said the crisis "has many novel aspects" stemming from the globalization of markets and quick movements of money and information but that "the current situation also has much in common with past experiences."
945	5392	APW_ENG_20070325.0005.LDC2009T13	NULL			'Kjetil Backen -- SHETT''-il'
946	1208	AFP_ENG_20070725.0295.LDC2009T13	NULL			Skoko, 31, had agreed a new contract with the Premiership club during the close season but was unable to play until his work permit was ratified by the British Home Office.
947	4815	APW_ENG_20070302.1288.LDC2009T13	NULL			"All of our trials undergo rigorous scrutiny and this study had been fully authorized by all the necessary Russian agencies," he said.
948	19791	NYT_ENG_20081105.0163.LDC2009T13	NULL			'Is it possible that a public defender type facing off against a big-law-firm, developers'' attorney was a factor, too?'
949	8788	APW_ENG_20071202.0604.LDC2009T13	NULL			'His work visa in Saudi Arabia will expire at the end of this month if he can''t make it back, he said, but he was not included on the list of those allowed to leave.'
950	12245	APW_ENG_20081023.1359.LDC2009T13	NULL			'He''s the second former Bush administration figure this week to publicly back Obama, following former Secretary of State Colin Powell.'
951	6962	APW_ENG_20070718.1602.LDC2009T13	NULL			'Software is IBM''s smallest unit but accounts for an outsized portion of IBM''s profit.'
952	6721	APW_ENG_20070705.0756.LDC2009T13	NULL			Dinner guest in Belgium finds bodies in deep freeze
953	13666	LTW_ENG_20070919.0152.LDC2009T13	NULL			The new religious training, Stone said, helps U.S. forces pinpoint the hard-core extremists.
954	17146	NYT_ENG_20071014.0071.LDC2009T13	NULL			Although Stewart finished seventh, he fell 198 points behind Gordon.
955	7518	APW_ENG_20070906.0497.LDC2009T13	NULL			Howard said the three-way talks were not directed at China, whose rapid military buildup has been a source of concern in Washington and other regional capitals.
956	12269	APW_ENG_20081027.0493.LDC2009T13	NULL			IMF loan to Ukraine hinges on political crisis
957	15573	NYT_ENG_20070306.0155.LDC2009T13	NULL			BIZ-COVER-NYT
958	3324	AFP_ENG_20080920.0343.LDC2009T13	NULL			URGENT ¥¥¥ ANC tells South Africa president to stand down
959	18232	NYT_ENG_20080303.0071.LDC2009T13	NULL			'That''s a real difference.'
960	16812	NYT_ENG_20070825.0080.LDC2009T13	NULL			'The glow of a welding torch looks like a tiny firefly against the hulking mass of a half-built ship''s hull.'
961	2367	AFP_ENG_20080329.0084.LDC2009T13	NULL			'That win meant United kicked off just three points ahead of Arsene Wenger''s side and, with Chelsea set to face Middlesbrough the following day, anything less than three points would have given the three-way battle at the head of the table a new twist.'
962	4990	APW_ENG_20070320.0179.LDC2009T13	NULL			'"It''s so cute.'
963	11657	APW_ENG_20080904.1055.LDC2009T13	NULL			To receive the download, people can sign up at SlackerUprising.com.
964	4941	APW_ENG_20070314.1213.LDC2009T13	NULL			9
965	8621	APW_ENG_20071120.1117.LDC2009T13	NULL			Economists say the factors behind the shortages are numerous, including surging demand due to economic growth.
966	567	AFP_ENG_20070304.0145.LDC2009T13	NULL			Election results will remain unofficial until certified by the Cherokee Nation Election Commission, but officials said percentages were not expected to change significantly.
967	1087	AFP_ENG_20070622.0443.LDC2009T13	NULL			The euro stood at 1.3468 dollars.
968	1271	AFP_ENG_20070811.0272.LDC2009T13	NULL			'Asked about whether the blast may have been related to Islamic militant activity, he said Indonesia''s anti-terror unit, Detachment 88, had "been monitoring activities in the area, but I cannot confirm specifically the whereabouts, so let''s just wait."'
969	3349	AFP_ENG_20080923.0500.LDC2009T13	NULL			"It is unfair and unjust for me to be judged and condemned on the basis of the findings in the Zuma matter," said Mbeki in his application.
970	128	AFP_ENG_20070125.0424.LDC2009T13	NULL			One person was killed and about 20 more injured in clashes between rival Sunni and Shiite Muslim demonstrators in Beirut on Thursday, hospital sources said.
971	16550	NYT_ENG_20070711.0226.LDC2009T13	NULL			'But those who stay -- or come later -- will do so with Venezuela''s government-controlled oil company in charge, Alvarez told the Houston Chronicle editorial board.'
972	10119	APW_ENG_20080423.0015.LDC2009T13	NULL			'Jeanine Pirro -- juh-NEEN'' PEER''-oh'
974	21143	XIN_ENG_20071205.0313.LDC2009T13	NULL			For varied reasons and contradictory action by unions, problems afflicting Togolese workers have not been addressed in a concerted manner, notably the situation of nearly 3,000 casual workers in the public service which has never been given the attention it deserves to ensure their full integration, affirmed the unionists.
975	2553	AFP_ENG_20080422.0711.LDC2009T13	NULL			"We never stopped believing in each other."
976	16315	NYT_ENG_20070622.0017.LDC2009T13	NULL			'At Fukuoka University of Economics, in this city on Kyushu, a southern island, administrators responded to the plunge in applications with a $50 million project in 1999 to build lavish dormitories, in which all 700 rooms are singles -- a luxury on Japan''s traditionally Spartan campuses -- and are wired for the Internet.'
977	15204	NYT_ENG_20070108.0110.LDC2009T13	NULL			But he said his vision bore no special likelihood of coming true.
978	14402	LTW_ENG_20080326.0132.LDC2009T13	NULL			Verizon entered into competition with Comcast and Time Warner Cable through its FiOS fiber-optic network, which offers television services.
979	13498	LTW_ENG_20070728.0017.LDC2009T13	NULL			The use of twigs and rods dates to biblical times, dowsers say.
980	16886	NYT_ENG_20070907.0252.LDC2009T13	NULL			Others have discontinued the practice as being inhumane or too costly for appropriate care.
981	11876	APW_ENG_20080924.0608.LDC2009T13	NULL			After that massacre, the government promised to raise the minimum age for buying a gun from 15 to 18, but legislation was never passed.
982	19775	NYT_ENG_20081105.0163.LDC2009T13	NULL			??
983	14845	LTW_ENG_20080929.0015.LDC2009T13	NULL			Pro-Russia leaders also accuse the Ukrainian government of slowly moving people into the region from other parts of the country, and of installing pro-Kiev leaders in the city government.
985	14704	LTW_ENG_20080802.0036.LDC2009T13	NULL			Ringo Starr and his All Starr Band.
986	5062	APW_ENG_20070320.1432.LDC2009T13	NULL			International Commission on Holocaust Era Insurance Claims: U_R_L
987	6959	APW_ENG_20070718.1602.LDC2009T13	NULL			'IBM''s services division inked $11.7 billion (euro8.49 billion) in contracts in the second quarter, compared with an unusually soft $9.6 billion (euro6.97 billion) a year ago.'
988	14007	LTW_ENG_20071202.0013.LDC2009T13	NULL			Why are we subjected to this?
989	16396	NYT_ENG_20070622.0068.LDC2009T13	NULL			'"This bill would help to reverse this trend and to restore the public''s trust in their government."'
990	8403	APW_ENG_20071101.1217.LDC2009T13	NULL			She came within one match of winning the Grand Slam in 1997, losing only in the French Open final.
991	9109	APW_ENG_20080112.0653.LDC2009T13	NULL			The arrests were only made public within the past week.
992	10138	APW_ENG_20080423.0015.LDC2009T13	NULL			'Pristina -- PREE''-shtee-nah'
993	10946	APW_ENG_20080724.1214.LDC2009T13	NULL			Cooke said the treatment, which is administered every four weeks by intravenous infusion, retails for about US$30,000 (euro20,000) annually per patient following a recent 3 percent price rise.
994	21176	XIN_ENG_20071211.0110.LDC2009T13	NULL			Parties also acknowledged the need to strengthen existing commitments and enhance their implementation, especially with regard to developing countries.
995	18814	NYT_ENG_20080508.0246.LDC2009T13	NULL			He can be "awkward socially" but funny, she said.
996	11968	APW_ENG_20080930.0927.LDC2009T13	NULL			Republicans acknowledge that McCain is behind, but say the race is closer than the polling indicates.
997	18267	NYT_ENG_20080308.0082.LDC2009T13	NULL			Rajoy still contends that he was a victim of circumstances in 2004, robbed of victory after his party insisted that the outlawed Basque separatist group ETA was responsible for the attack, despite evidence that pointed to radical Islamists.
998	1579	AFP_ENG_20070922.0379.LDC2009T13	NULL			Argentina 63 Namibia 3
999	7263	APW_ENG_20070815.0586.LDC2009T13	NULL			'"We''re continuing to investigate, and we''ll learn more in the coming days."'
1000	19328	NYT_ENG_20080818.0153.LDC2009T13	NULL			A video captured the crowd furiously beating Barzanji, chanting: "Kill him!
1001	14499	LTW_ENG_20080430.0024.LDC2009T13	NULL			Even then, there is no assurance that farmers will buy the seed year after year.
1004	18057	NYT_ENG_20080220.0046.LDC2009T13	NULL			"Pretty bad for patients, pretty good for industry profits," she said.
1005	18860	NYT_ENG_20080511.0078.LDC2009T13	NULL			'They swept through Texas, which is virtually impossible in today''s NBA.'
1007	3313	AFP_ENG_20080917.0126.LDC2009T13	NULL			It also trimmed its 2009 forecast to 1.00 percent from 1.03 percent.
